2016-07-01 15:22:54.248 | INFO  | main       | StartService        :18    | System Started ......
2016-07-01 15:22:54.280 | INFO  | main       | pl.FaceBookImplement:44    | facebook init ...
2016-07-01 15:22:54.280 | INFO  | main       | .config.SysParameter:48    | System begin to init the parameters.
2016-07-01 15:22:54.748 | INFO  | main       | .config.SysParameter:72    | System parameters loaded.
2016-07-01 15:22:54.857 | INFO  | main       | pl.FaceBookImplement:232   | facebook fresh token post url : https://graph.facebook.com/oauth/access_token?client_secret=b1bb931e34063397d7ea833c2b60e26b&grant_type=fb_exchange_token&fb_exchange_token=EAAH34ErnOZAEBAFnpbwEBxZBFa41B5BLLqviGKnX5ZBKLYFaxJxTGKnmb6KQzZCm66Q2Uvue2KaDbLQuZBXm1kqeClMHXeLTYtGUbn7hNNLtOKOGz8rg3idenyYvVUyHKJptGCc7yoEvkKFnokzSuvHxc4I4373oiP99ZB3R6M6QZDZD&client_id=554017678113169
2016-07-01 15:22:54.857 | ERROR | main       | pl.FaceBookImplement:266   | facebook fresh token  failure, for Get token is null....
2016-07-01 15:22:54.857 | INFO  | main       | pl.FaceBookImplement:232   | facebook fresh token post url : https://graph.facebook.com/oauth/access_token?client_secret=b1bb931e34063397d7ea833c2b60e26b&grant_type=fb_exchange_token&fb_exchange_token=EAAH34ErnOZAEBAFnpbwEBxZBFa41B5BLLqviGKnX5ZBKLYFaxJxTGKnmb6KQzZCm66Q2Uvue2KaDbLQuZBXm1kqeClMHXeLTYtGUbn7hNNLtOKOGz8rg3idenyYvVUyHKJptGCc7yoEvkKFnokzSuvHxc4I4373oiP99ZB3R6M6QZDZD&client_id=554017678113169
2016-07-01 15:22:54.857 | ERROR | main       | pl.FaceBookImplement:266   | facebook fresh token  failure, for Get token is null....
2016-07-01 15:22:54.873 | ERROR | main       | mpl.FreshTokenThread:59    | fresh token exit for:Can't fresh token, please check the status.
2016-07-01 15:22:54.873 | INFO  | main       | pl.FaceBookImplement:44    | facebook init ...
2016-07-01 15:22:55.813 | INFO  | main       | .ncpimpl.IssueThread:96    | get ncp curr issue info success... curr issue :160701001
2016-07-01 15:22:55.813 | INFO  | main       | pl.FaceBookImplement:157   | facebook post feed begin ... 
2016-07-01 15:23:04.611 | INFO  | main       | pl.FaceBookImplement:173   | facebook post feed id (1603887806588551_1614265678884097) ,message is: Lucky 5, issue no. 160701001 ,winning number is:6,4,8,11,9,url = http://kpwlottery.com/index.php/km?issue=160701001&wincode=6,4,8,11,9
2016-07-01 15:23:04.611 | INFO  | main       | .ncpimpl.IssueThread:107   | post curr issue info success ... curr issue :160701001
2016-07-01 15:23:04.611 | INFO  | main       | .ncpimpl.IssueThread:122   | System change curr issue to :160701002
2016-07-01 15:23:04.611 | INFO  | main       | .config.SysParameter:86    | System begin to save key:ncp.startissue
2016-07-01 15:23:04.627 | INFO  | main       | .config.SysParameter:100   | Save Issue Successful. value=160701002
2016-07-01 15:24:04.706 | INFO  | main       | .ncpimpl.IssueThread:96    | get ncp curr issue info success... curr issue :160701002
2016-07-01 15:24:04.706 | INFO  | main       | pl.FaceBookImplement:157   | facebook post feed begin ... 
2016-07-01 15:24:07.467 | INFO  | main       | pl.FaceBookImplement:173   | facebook post feed id (1603887806588551_1614265795550752) ,message is: Lucky 5, issue no. 160701002 ,winning number is:5,4,11,9,1,url = http://kpwlottery.com/index.php/km?issue=160701002&wincode=5,4,11,9,1
2016-07-01 15:24:07.467 | INFO  | main       | .ncpimpl.IssueThread:107   | post curr issue info success ... curr issue :160701002
2016-07-01 15:24:07.467 | INFO  | main       | .ncpimpl.IssueThread:122   | System change curr issue to :160701003
2016-07-01 15:24:07.467 | INFO  | main       | .config.SysParameter:86    | System begin to save key:ncp.startissue
2016-07-01 15:24:07.467 | INFO  | main       | .config.SysParameter:100   | Save Issue Successful. value=160701003
2016-07-01 15:25:07.560 | INFO  | main       | .ncpimpl.IssueThread:96    | get ncp curr issue info success... curr issue :160701003
2016-07-01 15:25:07.560 | INFO  | main       | pl.FaceBookImplement:157   | facebook post feed begin ... 
