2016-07-08 00:01:30.728 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:03:31.384 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:05:31.419 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:07:31.458 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:09:31.494 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:11:31.533 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:13:31.576 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:15:31.613 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:17:31.635 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:19:31.653 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:21:31.673 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:23:31.710 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:25:31.780 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:27:31.841 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:29:31.883 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:31:31.920 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:33:31.964 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:35:32.034 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:37:32.071 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:39:32.108 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:41:32.130 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:43:32.192 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:45:32.228 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:47:32.240 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:49:32.286 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:51:32.338 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:53:32.350 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:55:32.387 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:57:32.416 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 00:59:32.470 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:01:32.489 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:03:32.533 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:05:32.535 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:07:32.592 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:09:32.627 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:11:32.640 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:13:32.651 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:15:32.688 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:17:32.703 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:19:32.745 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:21:32.789 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:23:32.811 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:25:32.848 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:27:32.895 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:29:32.939 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:31:32.975 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:33:32.978 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:35:32.979 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:37:33.027 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:39:33.081 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:41:33.160 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:43:33.197 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:45:33.237 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:47:33.254 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:49:33.265 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:51:33.302 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:53:33.339 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:55:33.341 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:57:33.378 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 01:59:33.417 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:01:33.454 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:03:33.507 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:05:33.544 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:07:33.597 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:09:33.642 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:11:33.682 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:13:33.728 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:15:33.764 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:17:33.800 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:19:33.812 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:21:33.824 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:23:33.825 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:25:33.864 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:27:33.893 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:29:33.946 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:31:33.984 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:33:34.053 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:35:34.065 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:37:34.110 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:39:34.157 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:41:34.192 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:43:34.271 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:45:34.307 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:47:34.343 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:49:34.364 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:51:34.376 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:53:34.413 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:55:34.433 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:57:34.435 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 02:59:34.450 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:01:34.469 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:03:34.491 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:05:34.503 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:07:34.523 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:09:34.552 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:11:34.564 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:13:34.592 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:15:34.637 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:17:34.695 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:19:34.735 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:21:34.772 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:23:34.826 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:25:34.871 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:27:34.908 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:29:34.919 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:31:34.941 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:33:34.954 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
2016-07-08 03:35:34.993 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160708001
