2016-07-04 08:19:11.575 | INFO  | main       | .ncpimpl.IssueThread:73    | todays issue has finished ....next issue ..160704001
2016-07-04 08:21:08.620 | INFO  | main       | StartService        :18    | System Started ......
2016-07-04 08:21:08.668 | INFO  | main       | pl.FaceBookImplement:44    | facebook init ...
2016-07-04 08:21:08.672 | INFO  | main       | .config.SysParameter:48    | System begin to init the parameters.
2016-07-04 08:21:08.770 | INFO  | main       | .config.SysParameter:72    | System parameters loaded.
2016-07-04 08:21:09.029 | INFO  | main       | pl.FaceBookImplement:232   | facebook fresh token post url : https://graph.facebook.com/oauth/access_token?client_secret=b1bb931e34063397d7ea833c2b60e26b&grant_type=fb_exchange_token&fb_exchange_token=EAAH34ErnOZAEBAJdYCc67MCEsMehmdChPNyCJMTifvXKl2we7VsWzCG50mnjzb5FA11jH0CqJm5AWrLGWoJ53GKrZAo15nYGSKcccjM9AaEy6zBwVOHo4kwMxId6Aipwe9W0riID9ZAEHXmtKZAumzqF2TgAhCYZD&client_id=554017678113169
2016-07-04 08:21:10.248 | INFO  | main       | .config.SysParameter:86    | System begin to save key:facebook.accesstoken
2016-07-04 08:21:10.254 | INFO  | main       | .config.SysParameter:100   | Save Issue Successful. value=EAAH34ErnOZAEBAHrnW0QISG4uW4Nob33qxwfjFSi1pLGNLCraYNNKfdMZCp0ZCEjw55cDV4QomZAQdb0ztWonGRplbjbiQwURIBF08hKEVlkH3Od8dtLstzuOfRtLbmnZBGcZAT3lkFsdVtwSwkvA1y6rUZAg93SpwZD
2016-07-04 08:21:10.254 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-04 08:22:10.226 | INFO  | main       | StartService        :18    | System Started ......
2016-07-04 08:22:10.232 | INFO  | main       | .config.SysParameter:48    | System begin to init the parameters.
2016-07-04 08:22:10.333 | INFO  | main       | .config.SysParameter:72    | System parameters loaded.
2016-07-04 08:22:10.335 | INFO  | main       | pl.FaceBookImplement:44    | facebook init ...
2016-07-04 08:22:11.172 | INFO  | main       | .ncpimpl.IssueThread:96    | get ncp curr issue info success... curr issue :160701009
2016-07-04 08:22:11.172 | INFO  | main       | pl.FaceBookImplement:157   | facebook post feed begin ... 
2016-07-04 08:22:12.806 | INFO  | main       | pl.FaceBookImplement:173   | facebook post feed id (1603887806588551_1615792898731375) ,message is: Lucky 5, issue no. 160701009 ,winning number is:9,7,5,8,4,url = http://kpwlottery.com/index.php/km?issue=160701009&wincode=9,7,5,8,4
2016-07-04 08:22:12.807 | INFO  | main       | .ncpimpl.IssueThread:111   | post curr issue info success ... curr issue :160701009
2016-07-04 08:22:12.807 | INFO  | main       | .ncpimpl.IssueThread:126   | System change curr issue to :160701010
2016-07-04 08:22:12.807 | INFO  | main       | .config.SysParameter:86    | System begin to save key:ncp.startissue
2016-07-04 08:22:12.812 | INFO  | main       | .config.SysParameter:100   | Save Issue Successful. value=160701010
2016-07-04 08:22:35.637 | INFO  | main       | StartService        :18    | System Started ......
2016-07-04 08:22:35.641 | INFO  | main       | .config.SysParameter:48    | System begin to init the parameters.
2016-07-04 08:22:35.739 | INFO  | main       | .config.SysParameter:72    | System parameters loaded.
2016-07-04 08:22:35.742 | INFO  | main       | pl.FaceBookImplement:44    | facebook init ...
2016-07-04 08:22:36.242 | INFO  | main       | .ncpimpl.IssueThread:96    | get ncp curr issue info success... curr issue :160704001
2016-07-04 08:22:36.242 | INFO  | main       | pl.FaceBookImplement:157   | facebook post feed begin ... 
2016-07-04 08:22:39.926 | INFO  | main       | pl.FaceBookImplement:173   | facebook post feed id (1603887806588551_1615792968731368) ,message is: Lucky 5, issue no. 160704001 ,winning number is:6,2,9,1,3,url = http://kpwlottery.com/index.php/km?issue=160704001&wincode=6,2,9,1,3
2016-07-04 08:22:39.927 | INFO  | main       | .ncpimpl.IssueThread:111   | post curr issue info success ... curr issue :160704001
2016-07-04 08:22:39.927 | INFO  | main       | .ncpimpl.IssueThread:126   | System change curr issue to :160704002
2016-07-04 08:22:39.927 | INFO  | main       | .config.SysParameter:86    | System begin to save key:ncp.startissue
2016-07-04 08:22:39.936 | INFO  | main       | .config.SysParameter:100   | Save Issue Successful. value=160704002
2016-07-04 08:24:39.970 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:26:40.013 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:28:40.050 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:30:40.097 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:32:40.138 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:34:40.177 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:36:40.217 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:38:40.253 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:40:40.287 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:42:40.333 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:44:40.369 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:46:40.410 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:48:40.447 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:50:40.488 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:52:40.523 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:54:40.566 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:56:40.607 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 08:58:40.650 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 09:00:40.692 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704002
2016-07-04 09:01:40.750 | INFO  | main       | .ncpimpl.IssueThread:96    | get ncp curr issue info success... curr issue :160704002
2016-07-04 09:01:40.751 | INFO  | main       | pl.FaceBookImplement:157   | facebook post feed begin ... 
2016-07-04 09:01:44.533 | INFO  | main       | pl.FaceBookImplement:173   | facebook post feed id (1603887806588551_1615801858730479) ,message is: Lucky 5, issue no. 160704002 ,winning number is:9,7,8,5,1,url = http://kpwlottery.com/index.php/km?issue=160704002&wincode=9,7,8,5,1
2016-07-04 09:01:44.533 | INFO  | main       | .ncpimpl.IssueThread:111   | post curr issue info success ... curr issue :160704002
2016-07-04 09:01:44.534 | INFO  | main       | .ncpimpl.IssueThread:126   | System change curr issue to :160704003
2016-07-04 09:01:44.534 | INFO  | main       | .config.SysParameter:86    | System begin to save key:ncp.startissue
2016-07-04 09:01:44.542 | INFO  | main       | .config.SysParameter:100   | Save Issue Successful. value=160704003
2016-07-04 09:03:44.578 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:05:44.616 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:07:44.654 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:09:44.695 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:11:44.734 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:13:44.770 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:15:44.811 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:17:44.848 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:19:44.886 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:21:44.923 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:23:44.959 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:25:44.997 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:27:45.038 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:29:45.087 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:31:45.128 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:33:45.162 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:35:45.211 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:37:45.243 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:39:45.280 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:41:45.316 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:43:45.356 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:45:45.391 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:47:45.433 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:49:45.468 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:51:45.497 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:53:45.535 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:55:45.585 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:57:45.621 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 09:59:45.661 | INFO  | main       | .ncpimpl.IssueThread:102   | not get the issue info ......waiting for next time .160704003
2016-07-04 10:00:45.712 | INFO  | main       | .ncpimpl.IssueThread:96    | get ncp curr issue info success... curr issue :160704003
2016-07-04 10:00:45.712 | INFO  | main       | pl.FaceBookImplement:157   | facebook post feed begin ... 
